shona,part_of_speech_tag,english
-seka,VB,laugh
sekiritari,NN,secretary
sekuru,NN,grandfather; uncle
sendi,NN,cent
senduro,NN,sandal
sere,NN,eight
sero,NN,sale
setifiketi,NN,certificate
-shama nyai,VB,yawn
-shamisa,VB,amaze; astonish
shamwari,NN,friend
-shandisa,VB,use
shangu,NN,footwear; shoe
shanu,NN,five
-shanya,VB,visit
shasha,NN,champion
-shata,VB,be ugly
shati,NN,shirt
-shatirwa,VB,be angry
shinda,NN,thread
-shinga,VB,be brave
shiri,NN,bird
shizha,NN,leaf
shoko,NN,message (LL)
soko,NN,monkey (LH)
shoma,JJ,little; few
-shongedza,VB,decorate
-shora,VB,blame
shuga,NN,sugar
shumba,NN,lion
shure,ADV,behind
siketi,NN,skirt
simba,NN,power; authority
-simuka,VB,stand up; depart; leave
sipinachi,NN,spinach
sipo,NN,soap
siraha,NN,slaughterhouse
sirieri,NN,cereal
sitatimendi,NN,statement
sitichi,NN,stitch
-siya,VB,abandon
-siyana,VB,differ
-sona,VB,sew
soseji,NN,sausage
-suka,VB,wash
-suma,VB,introduce
-sunda,VB,push
-sunga,VB,arrest; tie; bind
-sunungura,VB,untie
supamaketi,NN,supermarket
sutukesi,NN,suitcase
-svetuka,VB,jump
sviba,JJ,be dirty
-sviba,VB,be dark
-svika,VB,arrive
-svipa,VB,spit
Svondo,NN,Sunday; week
svosve,NN,ant
sachigaro,NN,chairperson
saga,NN,sack
sainzi,NN,science
samende,NN,cement
-sangana,VB,meet
-sanganisa,VB,mix
sango,NN,forest; bush
-sarudza,VB,choose
sauti,NN,salt
-se,JJ,all
sei,PR,what
-seka,VB,laugh
sekiritari,NN,secretary
sekuru,NN,grandfather; uncle
sendi,NN,cent
senduro,NN,sandal
sere,JJ,eight
sero,NN,sale
setifiketi,NN,certificate
-shama nyai,VB,yawn
-shamisa,VB,amaze; astonish
shamwari,NN,friend
-shandisa,VB,use
shangu,NN,footwear; shoe
shanu,JJ,five
-shanya,VB,visit
shasha,NN,champion
-shata,VB,be ugly
shati,NN,shirt
-shatirwa,VB,be angry
shinda,NN,thread
-shinga,VB,be brave
shiri,NN,bird
shizha,NN,leaf
shoko,NN,message (LL)
shoko/soko,NN,monkey (LH)
shoma,JJ,little; few
-shongedza,VB,decorate
-shora,VB,blame
shuga,NN,sugar
shumba,NN,lion
shure,IN,behind
siketi,NN,skirt
simba,NN,power; authority;
-simuka,VB,stand up; depart; leave
sipinachi,NN,spinach
sipo,NN,soap
siraha,NN,slaughterhouse
sirieri,NN,cereal
sitatimendi,NN,statement
sitichi,NN,stitch
-siya,VB,abandon
-siyana,VB,differ
-sona,VB,sew
soseji,NN,sausage
-suka,VB,wash
-suma,VB,introduce
-sunda,VB,push
-sunga,VB,arrest; tie; bind
-sunungura,VB,untie
supamaketi,NN,supermarket
sutukesi,NN,suitcase
-svetuka,VB,jump
sviba,JJ,dirty
-sviba,VB,be dark
-svika,VB,arrive
-svipa,VB,spit
Svondo,NN,Sunday; week
svosve,NN,ant
tadza,VB,fail
tadzira,VB,offend
tafura,NN,table
takura,VB,carry
tama,VB,migrate
tamba,VB,dance; play
tambo,NN,rope
tambudzika,VB,suffer
tandadza,VB,entertain
tanga,VB,begin; start
tangi,NN,tank
tara,NN,tar; tarakita; tractor
tariro,NN,hope
tarisa,VB,look; watch
tarisira,VB,expect
tatu,NN,three
taura,VB,speak; converse; talk
tawuru,NN,towel
tayi,NN,tire
tayira,NN,tile
teera,VB,follow
teerera,VB,listen; obey
tekisi,NN,taxi
tema,VB,chop
temberi,NN,temple
teminasi,NN,terminus
temu,NN,term
tenda,VB,be grateful; believe
tende,NN,tent
tendera,VB,permit
tenga,VB,buy
tengesa,VB,betray; sell
tenisi,NN,tennis
tera,NN,tailor
testamende,NN,testament
tete,NN,aunt
tete,JJ,thin
tevedzera,VB,imitate
tezvara,NN,father-in-law
ti,VB,say
tii,NN,tea
tiipoti,NN,teapot
tiivhii,NN,television
tikiti,NN,ticket
tireyi,NN,tray
tiza,VB,escape
tochi,NN,torch
tonga,VB,govern; rule
tora,VB,take; get; fetch
tositi,NN,toast
toti,NN,tot; toyi; toy
tsamba,NN,letter
tsamwa,VB,be sad
tsaona,NN,accident
tsauka,VB,turn
tsenga,VB,chew
tsidzira,VB,promise
tsika,NN,nemagariro; culture
tsime,NN,well
tsinga,NN,vein; artery
tsiye,NN,eyelash
tsoka,NN,foot
tsono,NN,needle
tsuro,NN,hare; rabbit
tsvaga,VB,find; search
tsvaira,VB,sweep
tsvedza,VB,slide
tsvigiri,NN,sugar
tsvimborume,NN,bachelor
tsvina,NN,dirt
tsvoda,VB,kiss
tsvuku,JJ,red
tuhwinha,VB,swim
tuma,VB,send
turikira,VB,interpret
turura,VB,unload
turusi,NN,tools
twiza,NN,giraffe
tya,VB,be afraid; fear
tyaira,VB,drive
tyisa,VB,intimidate
tyityidzira,VB,frighten
tyora,VB,break
-udza,VB,tell; inform
uipi,JJ,evil
ukama,NN,relationship
umboo,NN,evidence
unamati,NN,religion
-unganidza,VB,gather; collect
ungwaru,NN,wisdom
-unza,VB,bring
uori,NN,corruption
upenyu,NN,life
upfumi,NN,wealth
ura,NN,intestine
-uraya,VB,kill
urefu,NN,length
uremu,NN,weight
ushamwari,NN,friendship
usiku,NN,night
uso,NN,face
uswa,NN,grass
utachiona,NN,bacteria; virus
utano,NN,health
utsi,NN,smoke
utsinye,NN,cruelty
-uya,VB,come
-vaka,VB,build
vakadzi,NN,women
vana,NN,children
vanhu,NN,people
varume,NN,men
-vava,VB,be bitter
-venga,VB,hate
-verenga,VB,count; read
-vhaira,VB,brag
-vhara,VB,close; shut
vhesiti,NN,vest
-vhima,VB,hunt
vhiniga,NN,vinegar
vhiri,NN,tire; wheel
vhitamini,NN,vitamin
-vhota,VB,vote
vhudzi,NN,hair
vhuka vhuka,NN,aphrodisiac
-vhura,VB,open
-viga,VB,bury; conceal
-vira,VB,boil
wachi,NN,watch
waini,NN,wine
wana,VB,acquire; obtain
waya,NN,wire
wedzera,VB,increase
weti,NN,urine
yadi,NN,yard
yero,NN,yellow
yogati,NN,yogurt
yunifomu,NN,uniform
yunivhesiti,NN,university
-zadza,VB,fill
-zadzikisa,VB,fulfil
zai,NN,egg
zamanishoni,NN,examination; test
zam(u),NN,breast
zana,NN,one hundred
zano,NN,idea
-zadza,VB,fill
-zadzikisa,VB,fulfill
zai,NN,egg
zamanishoni,NN,examination; test
zamu,NN,breast
zana,CD,one hundred
zano,NN,idea
-zara,VB,be full
-zevezera,VB,whisper
zevezeve,NN,whisper
-zhamba,VB,yell
zhinji,JJ,many
zino,NN,tooth
zipi,NN,zip
ziro,CD,zero
ziso,NN,eye
ziso regumbo,NN,ankle
zita,NN,name
-ziva,VB,know
-zivisa,VB,announce
zizi,NN,owl
-zorora,VB,rest
zororo,NN,vacation; holiday
zumbu,NN,fowl run
zuva,NN,day; sun
zvakanaka,JJ,good
-zvarwa,VB,be born
zvino,RB,now
Zvita,NP,December (month name)
